location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Panama,North America,4314768.0,78.51,2.3,22267.037,96077098702.416,94084.0,2030.0,336345.0,77952.04747972544,21805.11211726795,470.4772075810333
Papua New Guinea,Oceania,8947027.0,64.5,,3823.194,34206219944.238,471.0,5.0,,,52.64318527260508,0.5588448542739393
Paraguay,South America,7132530.0,74.25,1.3,8827.01,62958913635.3,19138.0,358.0,185921.0,26066.627129503835,2683.199369648638,50.19256841541501
Peru,South America,32971846.0,76.74,1.6,12236.706,403466785779.276,663437.0,29259.0,584232.0,17719.117091593842,20121.318048131125,887.3934446982435
Philippines,Asia,109581085.0,71.23,1.0,7599.188,832727266158.98,226440.0,3623.0,2403510.0,21933.621117184593,2066.4150204389744,33.0622753005229
Poland,Europe,37846605.0,78.73,6.62,27216.445,1030050043419.225,68517.0,2078.0,2628272.0,69445.3835423283,1810.3869554481835,54.905849547139034
Portugal,Europe,10196707.0,82.05,3.39,27936.896,284864343001.472,58633.0,1827.0,2058544.0,201883.21582644279,5750.189742629655,179.17549263698564
Puerto Rico,North America,2860840.0,80.1,,35044.67,100257193722.79999,34003.0,443.0,,,11885.669943093637,154.849624585786
Qatar,Asia,2881060.0,80.23,1.2,116935.6,336898479736.0,119206.0,199.0,634745.0,220316.48073972773,41375.74364990663,69.0717999625138
Romania,Europe,19237682.0,76.05,6.892,23313.199,448491908764.718,89891.0,3721.0,1825272.0,94880.03804200527,4672.652349695769,193.4224715846743
Russia,Europe,145934460.0,72.58,8.05,24765.954,3614206123374.8403,1005000.0,17414.0,37176827.0,254750.1597634993,6886.65309070935,119.3275392254852
Rwanda,Africa,12952209.0,69.02,,1854.211,24016128402.099,4218.0,17.0,393237.0,30360.612618280018,325.6587351238696,1.3125174246338984
Saint Kitts and Nevis,North America,53192.0,76.23,2.3,24654.385,1311416046.9199998,17.0,0.0,,,319.59693186945407,0.0
Saint Lucia,North America,183629.0,76.2,1.3,12951.839,2378333243.731,26.0,0.0,,,141.58983602807837,0.0
Saint Vincent and the Grenadines,North America,110947.0,72.53,2.6,10727.146,1190144667.262,61.0,0.0,,,549.8120724309806,0.0
San Marino,Europe,33938.0,84.97,3.8,56861.47,1929764568.8600001,735.0,42.0,,,21657.13948965761,1237.5508279804349
Sao Tome and Principe,Africa,219161.0,70.39,2.9,3052.7140000000004,669035852.9540001,896.0,15.0,,,4088.3186333334856,68.4428342633954
Saudi Arabia,Asia,34813867.0,75.13,2.7,49045.41099999999,1707460415514.3367,317486.0,3956.0,5160518.0,148231.68020949812,9119.526997675955,113.63288082878009
Senegal,Africa,16743930.0,67.94,,2470.58,41367218579.4,13743.0,287.0,153078.0,9142.29813430897,820.7750510184885,17.140539885200187
Serbia,Europe,6804596.0,76.0,5.609,14048.881,95596959457.07599,31581.0,716.0,931037.0,136824.72846293886,4641.127849471151,105.2229992787228
Seychelles,Africa,98340.0,73.4,3.6,26382.287,2594434103.58,136.0,0.0,,,1382.9570876550742,0.0
Sierra Leone,Africa,7976985.0,54.7,,1390.3,11090402245.5,2029.0,71.0,,,254.35675258258604,8.900605930686845
Singapore,Asia,5850343.0,83.62,2.4,85535.383,500411329186.369,56860.0,27.0,805214.0,137635.34890176525,9719.08826542307,4.615114019810463
Sint Maarten (Dutch part),North America,42882.0,78.95,,36327.232,1557784362.624,482.0,19.0,,,11240.14738118558,443.07634905088383
Slovakia,Europe,5459643.0,77.54,5.82,30155.152,164636364530.736,4042.0,33.0,340123.0,62297.66305232778,740.341447233821,6.044351251537876
